,category,reviewTitle,rating,relevanceScore
132704,jual-flash-drives,Thanks,3,21.96
132707,jual-flash-drives,kirim barang ulang,3,21.95
132727,jual-flash-drives,Belum coba,3,21.51
132734,jual-flash-drives,Flash 16 GB nya tidak berfungsi dengan baik,3,21.51
132735,jual-flash-drives,joss,3,21.51
132739,jual-flash-drives,bagus,3,21.5
132740,jual-flash-drives,Oke jg,3,21.5
132775,jual-flash-drives,ok,3,15.01
132886,jual-flash-drives,Barang Sampai Cepat,3,22.49
132907,jual-flash-drives,ThinkPad 11e5V00,3,24.31
133014,jual-flash-drives,senang barang udah sampe,3,29.01
133047,jual-flash-drives,pengiriman cepat,3,21.51
133077,jual-flash-drives,Ingsyaallah puas,3,27
133097,jual-flash-drives,Flashdisk,3,26.95
133142,jual-flash-drives,Baik,3,19.6
133146,jual-flash-drives,Usb kereNz,3,19.59
133192,jual-flash-drives,"Kapasitas hanya 14,3",3,19.5
133196,jual-flash-drives,"Bagus,,tapi..",3,19.5
133197,jual-flash-drives,barang datangnya telat..,3,19.5
133219,jual-flash-drives,Tiga dulu deh,3,19.5
133293,jual-flash-drives,bagus,3,17
133294,jual-flash-drives,keren faboulous,3,17
133297,jual-flash-drives,Keren lucu,3,17
133485,jual-flash-drives,Tidak sesuai iklan,3,19.49
134519,jual-flash-drives,not bad,3,22.51
134539,jual-flash-drives,Packing Ok,3,24.01
134570,jual-flash-drives,Tiga Bintang,3,21.51
135165,jual-flash-drives,kurang bagus,3,21.51
135168,jual-flash-drives,it doesn't work on smart phones. but it's worth comparing to its price.,3,16.51
135169,jual-flash-drives,Produk mirip asli. Hanya tidak ada hologram di kemasan. Saat dicoba ternyata gagal simpan file sampai 30 Gb.,3,16.51
135219,jual-flash-drives,pengiriman cepat,3,25.52
135441,jual-flash-drives,sipp,3,29.01
135485,jual-flash-drives,auto off tidak berfungsi,3,23.08
135853,jual-flash-drives,sesuai gambar,3,22.49
135996,jual-flash-drives,Ya bagus,3,22
136001,jual-flash-drives,pengiriman cepat,3,19.5
136010,jual-flash-drives,ok,3,19.25
136259,jual-flash-drives,good,3,22.49
136603,jual-flash-drives,pengiriman terlambat sehari,3,26.67
136631,jual-flash-drives,kurir nyebelin,3,16.72
136632,jual-flash-drives,kurir nyebelin,3,16.72
136675,jual-flash-drives,Lumayan,3,20.04
136684,jual-flash-drives,Not Bad,3,19.18
136692,jual-flash-drives,Testimonial,3,19.09
136755,jual-flash-drives,Flashdisk,3,19.05
136809,jual-flash-drives,OKE,3,21.51
136860,jual-flash-drives,Lumayan bagus,3,20.51
136937,jual-flash-drives,Bagus,3,19.9
137813,jual-flash-drives,bagus,3,19
138128,jual-flash-drives,Bantuan,3,15.14
138244,jual-flash-drives,ikutan salah baca,3,29.5
138360,jual-flash-drives,Satisfied,3,19.38
138402,jual-flash-drives,Pengiriman Lama,3,17.51
138571,jual-flash-drives,Barang,3,21.51
138592,jual-flash-drives,siipp,3,21.51
138856,jual-flash-drives,lumayan,3,25.82
139001,jual-flash-drives,Barang kurang,3,22
139345,jual-flash-drives,"Lumayan buat flashdisk orang yg cman nyimpen data doc,exl",3,29.99
144858,jual-flash-drives,"pedestal kecil......saat dikirim tidak di bubble wrap,agak kecewa dengan penanganannya",3,15.63
145011,jual-flash-drives,Bonus Antena kok ga ada??,3,33.11
145054,jual-flash-drives,doa aja,3,33.32
151769,jual-flash-drives,usb yg lucu dan imut,3,27
164005,jual-flash-drives,semoga real original,3,27.89
164634,jual-flash-drives,Bagus,3,18.78
167016,jual-flash-drives,Promo awal tahun jos,3,21.75
168366,jual-flash-drives,Murah.,3,20.51
168367,jual-flash-drives,sandisk,3,16.87
168374,jual-flash-drives,Sedikit mengecewakan,3,19.31
168480,jual-flash-drives,Makasih,3,21.68
169958,jual-flash-drives,Lumayan,3,22.4
169965,jual-flash-drives,Puas,3,19.89
169967,jual-flash-drives,Sandisk Cruzer Blade - 16 GB,3,19.87
169989,jual-flash-drives,Tiga Bintang,3,19.5
169998,jual-flash-drives,Kapasitas tdk sesuai,3,19.5
170016,jual-flash-drives,Good,3,19.45
170038,jual-flash-drives,barang bagus,3,19.12
172165,jual-flash-drives,Agak Sedih :(,3,23.01
172176,jual-flash-drives,Barang ok,3,31.43
172197,jual-flash-drives,Puas,3,21.95
172213,jual-flash-drives,Service,3,19.15
172365,jual-flash-drives,Jangan mengecewakan!!!,3,17.61
172380,jual-flash-drives,kurang puas,3,15.55
173524,jual-flash-drives,Kurang ramah,3,29.88
173530,jual-flash-drives,lumayan,3,27.4
173535,jual-flash-drives,Nice Produk,3,26.89
173544,jual-flash-drives,pengiriman lama,3,25.84
173548,jual-flash-drives,Bikin temen kerja jd kepengen ikut pesan..,3,25.35
175297,jual-flash-drives,All hail lazada,3,21.59
175731,jual-flash-drives,All hail lazada,3,21.38
175769,jual-flash-drives,Pelayanan memuaskan,3,21.47
175911,jual-flash-drives,Satisfied Enough,3,26.6
175912,jual-flash-drives,PUAS,3,26.6
175914,jual-flash-drives,produk sudah diterima pagi ini,3,26.59
175952,jual-flash-drives,mantapp,3,19.5
175969,jual-flash-drives,USB SANDISK 16GB,3,19.15
175985,jual-flash-drives,Lumayan,3,19.11
175999,jual-flash-drives,sudah d terima,3,19.05
176429,jual-flash-drives,Barang Bagus pengiriman lebih cepat dari perkiraan (y),3,28.01
176431,jual-flash-drives,Lumayan lah,3,27
176435,jual-flash-drives,Tiga Bintang,3,23.26
176439,jual-flash-drives,Sudah sampai,3,21.92
176440,jual-flash-drives,fast respon plis.,3,21.77
176442,jual-flash-drives,sesuai gambar,3,21.51
176890,jual-flash-drives,Bagus,3,21.62
177017,jual-flash-drives,BOLEH LAH,3,19.26
177605,jual-flash-drives,Cukup Memuaskan,3,39.01
177706,jual-flash-drives,pengiriman lambat,3,27
177736,jual-flash-drives,BUYER EXPERIENCE,3,19.38
177875,jual-flash-drives,Lumayan bagus,3,26.53
177876,jual-flash-drives,thanks lazada and â€ shop,3,26.47
177878,jual-flash-drives,wauw..,3,26.18
177961,jual-flash-drives,josjosjosjosjosjosjosjosjos,3,22.51
178162,jual-flash-drives,pesanan,3,19.14
178262,jual-flash-drives,SanDisk Flash Disk Cruzer Edge 16 GB + OTG Adapter Android Robot Hitam,3,26.64
178308,jual-flash-drives,Barang dikirim tidak sesuai,3,27.92
178309,jual-flash-drives,Sedikit kecewa,3,27.92
178311,jual-flash-drives,Kecewa,3,27.69
178322,jual-flash-drives,Barang ok,3,19.6
178406,jual-flash-drives,Puas dan terima kasih,3,16.86
178456,jual-flash-drives,Bagus,3,19.83
178799,jual-flash-drives,Tiga Bintang,3,20.51
178819,jual-flash-drives,Toshiba Hayabusa 16 GB,3,17.1
178829,jual-flash-drives,Cepet panas,3,21.51
178924,jual-flash-drives,Sedikit kecewa,3,19.5
178936,jual-flash-drives,ok,3,19.35
178995,jual-flash-drives,Flasdis tidak ada merk,3,29.89
179023,jual-flash-drives,"Pesanan ku baru sampi, lma banget. Lazada",3,17
179049,jual-flash-drives,Cukup puas,3,19.49
179058,jual-flash-drives,USB-nya unik,3,28.01
179077,jual-flash-drives,Sofar good,3,22
179151,jual-flash-drives,Mau tukar,3,27.97
179164,jual-flash-drives,Puaaas..,3,29.34
180538,jual-flash-drives,barang beda,3,20.51
180591,jual-flash-drives,Cruzer edge bukan cruzer switch,3,28.22
180609,jual-flash-drives,Tiga Bintang,3,20.31
180661,jual-flash-drives,Bagus,3,19.5
180693,jual-flash-drives,kurang teliti,3,28.01
180921,jual-flash-drives,puas,3,23.01
181260,jual-flash-drives,mantap,3,22.49
181265,jual-flash-drives,barang sudah sampai,3,21.96
181364,jual-flash-drives,Tidak sesuai,3,16.88
181435,jual-flash-drives,Samsung Flashdisk USB 3.0 OTG 32GB Dual Drive + Gantungan Laser,3,29.01
181437,jual-flash-drives,Mantaf,3,26.9
181827,jual-flash-drives,Ukuran Kurang Sesuai,3,19.5
181932,jual-flash-drives,Lumayan,3,21.49
181945,jual-flash-drives,Bagus tapi,3,19.5
182039,jual-flash-drives,Barang belum sampai,3,31.92
182053,jual-flash-drives,Kecewa tapi sadar diri,3,20.22
182054,jual-flash-drives,Ragu,3,20.22
182089,jual-flash-drives,Bonusnya mantep,3,27.87
182094,jual-flash-drives,Bonus gak kerja,3,22
182104,jual-flash-drives,Bagus,3,19.5
182341,jual-flash-drives,Gooood,3,20.07
182508,jual-flash-drives,AKARI LED TV,3,19.48
182622,shop-televisi-digital,"Kurang puas..,",3,27
182632,shop-televisi-digital,Saran,3,17
182639,shop-televisi-digital,Tanya dulu,3,19.67
182711,shop-televisi-digital,Barang nya kok belum sampai udh seminggu,3,21.17
182726,shop-televisi-digital,Lama pengiriman dan sistemnya kosong,3,30.34
182827,shop-televisi-digital,Kiriman tepat waktu,3,24.8
182837,shop-televisi-digital,Gak konsisten,3,17.53
182866,shop-televisi-digital,apakah pengiriman nya cepat,3,22.8
182935,shop-televisi-digital,Barang ori,3,17.34
182954,shop-televisi-digital,tidak sesuai,3,23.84
182972,shop-televisi-digital,kurir nye kurang di tatar,3,29.01
182976,shop-televisi-digital,ckup bagus,3,20.51
183047,shop-televisi-digital,Menunggu tindak lanjut,3,27.69
183081,shop-televisi-digital,Tiga Bintang,3,16.6
183116,shop-televisi-digital,Pertanyaan,3,19.75
183177,shop-televisi-digital,Tolong dijawab gan penting !!,3,22.16
183214,shop-televisi-digital,Hdmi,3,15.01
183336,shop-televisi-digital,Lumayan,3,32.45
183453,shop-televisi-digital,Sampe paketan,3,18.01
183460,shop-televisi-digital,Windows,3,31.76
183491,shop-televisi-digital,Tentang barAng,3,25.5
183523,shop-televisi-digital,.,3,16.73
183525,shop-televisi-digital,Lumayan,3,30.51
183643,shop-televisi-digital,biasa saja. ga berlebihan...thx anyway,3,16.51
183913,shop-televisi-digital,Ga ada OTG,3,21.51
184071,shop-televisi-digital,Pesanan belum sampai,3,31.34
184135,shop-televisi-digital,ok,3,28.05
184145,shop-televisi-digital,#3434195772,3,27.43
184217,shop-televisi-digital,pembatalan,3,24.55
184251,shop-televisi-digital,Cukup bagus,3,23.88
184363,shop-televisi-digital,beli onlain,3,21.79
184386,shop-televisi-digital,Bertanya,3,21.34
184454,shop-televisi-digital,Mantap,3,19.09
184593,shop-televisi-digital,Ppn,3,17.57
184685,shop-televisi-digital,Lumayan,3,16.99
185390,shop-televisi-digital,"Sharp 24""",3,31.65
185437,shop-televisi-digital,Gambar kurang jernih,3,31.37
185523,shop-televisi-digital,puas dng barang'y,3,29.6
185569,shop-televisi-digital,Semoga beres,3,29.45
185587,shop-televisi-digital,cepat sampai...tapi kotak tidak rapi lagi,3,29.01
185599,shop-televisi-digital,"CEPAT, TIDAK ADA KENDALA",3,29.01
185715,shop-televisi-digital,Ada slot USB namun hanya untuk Service Only*,3,27.76
185730,shop-televisi-digital,Tepat waktu,3,27.49
185734,shop-televisi-digital,Agak kecewa,3,27.38
185741,shop-televisi-digital,produk barang memuaskan,3,27.32
185791,shop-televisi-digital,"Sharp led 24""",3,27.08
185803,shop-televisi-digital,waktu nunggu lebih lama,3,27.02
185819,shop-televisi-digital,OK,3,27
185822,shop-televisi-digital,Speaker tdk berfungsi dgn baik,3,27
185826,shop-televisi-digital,Kualiatas ok pengiriman cepat,3,27
185827,shop-televisi-digital,Kurir kurang bagus,3,27
185828,shop-televisi-digital,"harganya beda lgi, jadi ragu, harap2 cemas",3,27
185831,shop-televisi-digital,Oke tapi ada yang kurang,3,27
185848,shop-televisi-digital,TV bagus tapi layanan kurang memuaskan,3,26.83
185857,shop-televisi-digital,Puas,3,26.81
185977,shop-televisi-digital,KUALITAS LAYAR BERBANDING TERBALIK DENGAN KUALITAS SOUND DAN BUILD QUALITY,3,37.07
186019,shop-televisi-digital,Lumayan,3,31.76
186041,shop-televisi-digital,Mantaappp,3,30.75
186059,shop-televisi-digital,Tidak sesuai produk,3,30.51
186068,shop-televisi-digital,Barang bagus harga miring,3,30.13
186072,shop-televisi-digital,pengiriman lama,3,30.01
186151,shop-televisi-digital,kecewa,3,28.81
186153,shop-televisi-digital,Akhirnya datang jg...,3,28.79
186160,shop-televisi-digital,Lama banget.,3,28.01
186184,shop-televisi-digital,Barang murah tp bagus,3,28.01
186187,shop-televisi-digital,Alhamdulillah sampai juga,3,28.01
186211,shop-televisi-digital,pengiriman 6 hari,3,28.01
186269,shop-televisi-digital,"Barang Bagus, Delevery cepat",3,27
186326,shop-televisi-digital,Lama menunggu,3,23.5
186328,shop-televisi-digital,Harga turun naik,3,23.25
186348,shop-televisi-digital,Produk standar. Pengiriman cepat & gratis,3,23.01
186377,shop-televisi-digital,bahan nya kurang bagus,3,22
186407,shop-televisi-digital,barang oke,3,21.51
186473,shop-televisi-digital,lumayan cepet,3,21.51
186500,shop-televisi-digital,Barang sesuai semoga barangnya berkualitas baik ..pemakai bisa puas terhibur..,3,21.51
186523,shop-televisi-digital,cara menampilkan subtitle bingung,3,21.48
186548,shop-televisi-digital,Barang belum sampai,3,21.28
186567,shop-televisi-digital,Nice,3,20.51
186586,shop-televisi-digital,Kualitas barang sesuai harga,3,20.51
186587,shop-televisi-digital,Agak kecewa,3,20.51
186595,shop-televisi-digital,tv led 32 inch HD TV,3,20.51
186645,shop-televisi-digital,Philips 32' LED HD TV,3,20.51
186649,shop-televisi-digital,Kualitas gambarnya kok pecah pecah,3,20.51
186660,shop-televisi-digital,lama nyampai,3,20.51
186696,shop-televisi-digital,Beli tv,3,20.03
186700,shop-televisi-digital,"Produk tv Philip 32"" ledakan hd tv",3,20.01
186708,shop-televisi-digital,Bagus...,3,19.93
186716,shop-televisi-digital,TV ku belum aku Terima,3,19.61
186717,shop-televisi-digital,Ok banget,3,19.61
186822,shop-televisi-digital,Sebagian tidak puas,3,17.53
186823,shop-televisi-digital,Tiga Bintang,3,17.53
186833,shop-televisi-digital,FREE BRACKETNYA NGGAK ADA!?,3,17.49
186836,shop-televisi-digital,Senang plus kecewa,3,17.47
186840,shop-televisi-digital,Pengiriman lama,3,17.44
186845,shop-televisi-digital,Barang mantap pengiriman lama,3,17.1
186883,shop-televisi-digital,"Philips 32"" LED TV",3,17
186955,shop-televisi-digital,Tudak ada bonus bracket,3,15.51
186982,shop-televisi-digital,"Barang sudah dikembalikan,  mohon ditukar",3,31.94
187003,shop-televisi-digital,Nice,3,22.35
187004,shop-televisi-digital,Pertanyaan,3,21.92
187009,shop-televisi-digital,Good,3,19.82
187092,shop-televisi-digital,Sukses instal os di dos,3,17
187098,shop-televisi-digital,Pertanyaan,3,15.01
187150,shop-televisi-digital,Good,3,31.62
187160,shop-televisi-digital,cukup puas,3,28.98
187167,shop-televisi-digital,Puas walau sdikit kecewa,3,27.97
187203,shop-televisi-digital,Salah warna produk,3,20.51
187352,shop-televisi-digital,Kurang puas,3,23.46
187354,shop-televisi-digital,"Barang lumayan,tapi sayang pengiriman lambat",3,22.84
187405,shop-televisi-digital,asus x441sa- bx002- ram 2gb- intel celeron,3,27.1
187414,shop-televisi-digital,asus x441sa,3,21.55
187469,shop-televisi-digital,asus,3,20.51
187746,shop-televisi-digital,Jangan pake JNE,3,37.74
187748,shop-televisi-digital,Pengembalian Uang,3,32.72
187771,shop-televisi-digital,bagus tapi PARAH,3,29.01
187772,shop-televisi-digital,lumayan,3,29.01
187779,shop-televisi-digital,Kurir,3,28.79
187807,shop-televisi-digital,Kode Resi POS tidak bisa dilacak,3,21.51
187808,shop-televisi-digital,speaker gak bagus,3,21.5
188213,shop-televisi-digital,pengirimanya rada lama,3,30.58
188243,shop-televisi-digital,Dilema,3,30.51
188276,shop-televisi-digital,TV bukan untuk sendiri,3,29.01
188278,shop-televisi-digital,Lumayan lah,3,29.01
188501,shop-televisi-digital,biasa saja,3,23.06
188542,shop-televisi-digital,Tidak Bisa USB movie,3,22.52
188589,shop-televisi-digital,"tv 32""",3,21.51
189592,shop-televisi-digital,Produk Bagus tapi Seller Mengecewakan,3,32.65
189662,shop-televisi-digital,Pengiriman Lama,3,25.29
189952,shop-televisi-digital,Pengiriman terlambat,3,33.07
189966,shop-televisi-digital,Laptop HP,3,31.34
190018,shop-televisi-digital,sesuai harga,3,24.28
190064,shop-televisi-digital,ThinkPad 11e5V00,3,24.31
190138,shop-televisi-digital,Packing Ok,3,24.01
190228,shop-televisi-digital,auto off tidak berfungsi,3,23.08
190519,shop-televisi-digital,sesuai gambar,3,22.49
190628,shop-televisi-digital,OKE,3,21.51
190629,shop-televisi-digital,Bantuan,3,15.14
191750,shop-televisi-digital,"pedestal kecil......saat dikirim tidak di bubble wrap,agak kecewa dengan penanganannya",3,15.63
191771,shop-televisi-digital,doa aja,3,33.32
203690,shop-televisi-digital,Tiga Bintang,3,20.51
203737,shop-televisi-digital,Puaaas..,3,29.34
203785,shop-televisi-digital,AKARI LED TV,3,19.48
2,beli-harddisk-eksternal,ok mantaaapppp barang sesuai pesanan.. good,5,21.5
9,beli-harddisk-eksternal,Barang bagus sesuai specs,5,19.5
14,beli-harddisk-eksternal,TV ok,4,22.88
17,beli-harddisk-eksternal,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",5,21.51
30,beli-harddisk-eksternal,Good job,5,26.98
32,beli-harddisk-eksternal,TOP,5,30.51
37,beli-harddisk-eksternal,"bagus saya suka, no tipu2...terbaik emanggggggg👍",5,17.34
42,beli-harddisk-eksternal,Lima Bintang,5,30.75
43,beli-harddisk-eksternal,Ke Gresik bisa gak ya..???,5,21.84
51,beli-harddisk-eksternal,"Bagus, diterima dengan aman.",5,17.11
61,beli-harddisk-eksternal,Sesuai Dengan yang tertera,5,23.3
62,beli-harddisk-eksternal,mantap,5,20.21
63,beli-harddisk-eksternal,Respon penjualan yg baik,4,19.99
64,beli-harddisk-eksternal,TOP,5,20.51
68,beli-harddisk-eksternal,Kepuasan & Ketidakpuasan,5,27
69,beli-harddisk-eksternal,Bagus,4,20.51
70,beli-harddisk-eksternal,SESUIA DENGAN FOTO,5,17.55
116,beli-harddisk-eksternal,GOOD,5,23.03
169,beli-harddisk-eksternal,Brng Utuh diterima,4,33.39
170,beli-harddisk-eksternal,sesuai pesanan,4,29.99
177,beli-harddisk-eksternal,tv murah,5,22.49
178,beli-harddisk-eksternal,mantapp,5,22.49
221,beli-harddisk-eksternal,Pelayanan,5,27
231,beli-harddisk-eksternal,TOP BGT,5,28.01
232,beli-harddisk-eksternal,Barang sudah mendarat dengan selamat,4,28.01
233,beli-harddisk-eksternal,Bagus,5,27
234,beli-harddisk-eksternal,bagus,5,22.49
235,beli-harddisk-eksternal,Rekomended,5,22.32
246,beli-harddisk-eksternal,mantap,5,30.13
248,beli-harddisk-eksternal,Oke,5,21.24
249,beli-harddisk-eksternal,recommended,5,20.51
272,beli-harddisk-eksternal,express,4,21.5
291,beli-harddisk-eksternal,TV LED dengan beragam input!,5,32.62
293,beli-harddisk-eksternal,Mantap,5,19.5
297,beli-harddisk-eksternal,Puas bgt ^_^,5,27.51
343,beli-harddisk-eksternal,Western Digital WD My Passport New Design 4TB,5,21.51
363,beli-harddisk-eksternal,Good lah...,5,30.41
365,beli-harddisk-eksternal,Sipz,5,27.34
366,beli-harddisk-eksternal,Sandisk Flashdisk Cruzer Dial CZ57,5,27
369,beli-harddisk-eksternal,Puas,5,21.51
370,beli-harddisk-eksternal,MANTABB,5,19.85
371,beli-harddisk-eksternal,Mantab,4,19.84
372,beli-harddisk-eksternal,Bagus,5,19.82
373,beli-harddisk-eksternal,Good,5,19.81
374,beli-harddisk-eksternal,Oke,4,19.6
375,beli-harddisk-eksternal,Oke,4,19.59
376,beli-harddisk-eksternal,sip,5,19.5
377,beli-harddisk-eksternal,mantapp,5,19.5
393,beli-harddisk-eksternal,SANDISK,5,23.23
394,beli-harddisk-eksternal,qualitas barang,5,21.89
396,beli-harddisk-eksternal,Barangnya tidak sesuai di gambar,4,21.51
399,beli-harddisk-eksternal,mantap,5,15.53
424,beli-harddisk-eksternal,bagus,5,27.09
428,beli-harddisk-eksternal,JOSS GANDOS,5,21.51
429,beli-harddisk-eksternal,MANTAP GAN,5,21.51
430,beli-harddisk-eksternal,Kwalitas super,5,21.51
431,beli-harddisk-eksternal,WD My passport 1TB,5,17.56
434,beli-harddisk-eksternal,"packing dan barangnya Ok, namun bonus pouch kekecilan",5,21.51
443,beli-harddisk-eksternal,Di order ya Gan/sist.,5,18.14
444,beli-harddisk-eksternal,Lima Bintang,5,17.98
445,beli-harddisk-eksternal,Lima Bintang,5,17.91
446,beli-harddisk-eksternal,Lima Bintang,5,17.91
447,beli-harddisk-eksternal,Lima Bintang,5,17.9
448,beli-harddisk-eksternal,Lima Bintang,5,17.81
449,beli-harddisk-eksternal,Lima Bintang,5,17.8
450,beli-harddisk-eksternal,Lima Bintang,5,17.79
451,beli-harddisk-eksternal,Lima Bintang,5,17.72
453,beli-harddisk-eksternal,Bisa kredit?,4,15.29
454,beli-harddisk-eksternal,Cara cicilan nya,5,15.11
483,beli-harddisk-eksternal,"tv led sharp 24""",5,32.34
484,beli-harddisk-eksternal,SANGAT MEMUASKAN!!!,5,29.99
493,beli-harddisk-eksternal,produk bagus,5,21.51
501,beli-harddisk-eksternal,led sharp,5,17.01
507,beli-harddisk-eksternal,Sangat puas,5,27.84
510,beli-harddisk-eksternal,MANTAP GAN,5,21.51
512,beli-harddisk-eksternal,Value for Money,5,27.67
514,beli-harddisk-eksternal,Pesanan sesuai harapan,5,32.13
515,beli-harddisk-eksternal,"Pengiriman Sangat Cepat, Barang Sesuai Pesanan",5,31.67
516,beli-harddisk-eksternal,Laptop dengan kualitas mantab...,5,21.67
517,beli-harddisk-eksternal,Powerfull Laptop,5,20.1
522,beli-harddisk-eksternal,Excellent!,5,19.5
525,beli-harddisk-eksternal,Pengiriman CEPAT,5,29.5
531,beli-harddisk-eksternal,Lumayan,4,27
532,beli-harddisk-eksternal,ext hardisk,5,20.51
533,beli-harddisk-eksternal,oke,5,19.9
558,beli-harddisk-eksternal,baguss,5,22.49
561,beli-harddisk-eksternal,Good Produk,4,19.5
562,beli-harddisk-eksternal,Good,5,19.5
576,beli-harddisk-eksternal,packing rapi,4,21.51
582,beli-harddisk-eksternal,hmmmm,4,22.49
588,beli-harddisk-eksternal,Barang sesuai dengan gambar,5,19.94
598,beli-harddisk-eksternal,Good,5,20.51
600,beli-harddisk-eksternal,Thanks,5,19.42
602,beli-harddisk-eksternal,Sandisk 8gb,4,22.32
603,beli-harddisk-eksternal,Pas,5,19.5
632,beli-harddisk-eksternal,Lumayan memuaskan,4,28.22
633,beli-harddisk-eksternal,Barang Sesuai Pemesanan,5,22.49
638,beli-harddisk-eksternal,Review Setelah HDD diterima,5,28.22
646,beli-harddisk-eksternal,Bagus,5,21.27
651,beli-harddisk-eksternal,puas,4,20.76
652,beli-harddisk-eksternal,KW tp ok,4,29.01
668,beli-harddisk-eksternal,"barang datang sesuai pesanan, packing cukup bagus rapih dan kuat, puas banget",5,22.47
677,beli-harddisk-eksternal,"Pengiriman sesuai estimasi,ok",5,21.51
691,beli-harddisk-eksternal,Murah dan bagus,5,29.99
692,beli-harddisk-eksternal,Barang Bagus,5,27
693,beli-harddisk-eksternal,Good,5,22
694,beli-harddisk-eksternal,Mantap,5,19.5
702,beli-harddisk-eksternal,konfirmasi dan pengirimannya agak lama,5,15.52
716,beli-harddisk-eksternal,diterima,4,20.42
719,beli-harddisk-eksternal,packing bagus...barang pun oke...cuma sebagai prmakai kita ngga tau. .harus di instal dulu...tapi tetep oke..,4,15.01
721,beli-harddisk-eksternal,Berfungsi dengan baik,5,27.73
725,beli-harddisk-eksternal,Mantap!!!,5,19.5
729,beli-harddisk-eksternal,Barang Bagus.,5,19.5
732,beli-harddisk-eksternal,Barang sudah sampai,5,19.5
779,beli-harddisk-eksternal,Oke,5,19.5
843,beli-harddisk-eksternal,Mantap,4,19.83
844,beli-harddisk-eksternal,Pengen,5,15.13
852,beli-harddisk-eksternal,Empat Bintang,4,17.86
856,beli-harddisk-eksternal,Harddisk tahan banting dengan standard Militer.,5,28.01
858,beli-harddisk-eksternal,Adata HD710,5,17.43
860,beli-harddisk-eksternal,Barang dicoba lancar,5,29.01
861,beli-harddisk-eksternal,Mantap,4,24.29
862,beli-harddisk-eksternal,Excellent,5,22.87
887,beli-harddisk-eksternal,excellent,5,19.83
889,beli-harddisk-eksternal,Barang Sesuai Dengan Iklan,5,22
893,beli-harddisk-eksternal,Puas,5,22.49
909,beli-harddisk-eksternal,Sip,5,23.84
915,beli-harddisk-eksternal,Pengiriman cepat dan rapi.,5,23.01
916,beli-harddisk-eksternal,Kredit,5,15.23
920,beli-harddisk-eksternal,Barang bagus,5,19.9
929,beli-harddisk-eksternal,Barang siiip pengiriman cepat,5,27.81
930,beli-harddisk-eksternal,Lenovo 'KidRock',5,19.82
932,beli-harddisk-eksternal,"Barang bagus, pengiriman cepat..",5,32.18
933,beli-harddisk-eksternal,Recommend,5,32.03
934,beli-harddisk-eksternal,Lima Bintang,5,31.34
935,beli-harddisk-eksternal,Recomend,4,28.24
939,beli-harddisk-eksternal,bagus!!,5,24.54
940,beli-harddisk-eksternal,Bagus,4,22.76
941,beli-harddisk-eksternal,Barang bagus,4,20.51
942,beli-harddisk-eksternal,Ntabss..,4,19.93
952,beli-harddisk-eksternal,Lima Bintang,5,18.01
956,beli-harddisk-eksternal,Tv LED,4,31.62
959,beli-harddisk-eksternal,Puas,5,21.51
961,beli-harddisk-eksternal,Empat Bintang,4,20.51
962,beli-harddisk-eksternal,Lumayan bagus,4,20.51
963,beli-harddisk-eksternal,Empat Bintang,4,20.26
964,beli-harddisk-eksternal,Barang bagus,4,20.23
969,beli-harddisk-eksternal,Pesanan kilat go jek,4,17.53
971,beli-harddisk-eksternal,Tanya Fitur Produk,4,16.93
995,beli-harddisk-eksternal,"Mantap, laptop dengan resolusi dan kecepatan tinggi sudah menjadi idaman saya.",5,16.51
1016,beli-harddisk-eksternal,Barang mantab,5,31.12
1019,beli-harddisk-eksternal,Puasss,5,19.5
1022,beli-harddisk-eksternal,"Harddisknya bagus, pengirimannya cepat",5,20.02
1034,beli-harddisk-eksternal,"Ok. pass respont, barang datang sebelum tanggal estimasi.",4,21.29
1043,beli-harddisk-eksternal,Barang sesuai description.,5,15.56
1044,beli-harddisk-eksternal,"eksternal enclosure HD 2,5#",4,32.76
1058,beli-harddisk-eksternal,barang ok,5,24.51
1061,beli-harddisk-eksternal,Ini sedikit kecewa,5,23.84
1063,beli-harddisk-eksternal,mantap....,4,23.14
1065,beli-harddisk-eksternal,BUDAYAKAN MEMBACA SEBELUM MEMBELI,5,22.93
1074,beli-harddisk-eksternal,top,5,20.51
1100,beli-harddisk-eksternal,barang bagus banget,5,30.74
1101,beli-harddisk-eksternal,Mantap,5,31.38
1102,beli-harddisk-eksternal,Keren,5,30.34
1104,beli-harddisk-eksternal,xiaomi netbook air,5,24
1105,beli-harddisk-eksternal,Value of money,4,21.79
1113,beli-harddisk-eksternal,Pelayanan baik,5,15.63
1119,beli-harddisk-eksternal,Puas!,5,31.65
1120,beli-harddisk-eksternal,"Excellent Notebook, ringan di kantong",5,31.52
1121,beli-harddisk-eksternal,Ontime and Good Packing,5,31.19
1122,beli-harddisk-eksternal,Bagus,5,29.19
1123,beli-harddisk-eksternal,RECOMMENDED SELLER,5,29.15
1125,beli-harddisk-eksternal,Puas,5,26.81
1126,beli-harddisk-eksternal,puas,5,24.31
1127,beli-harddisk-eksternal,barang sudah diterima,5,23.94
1128,beli-harddisk-eksternal,Puas,5,22.46
1129,beli-harddisk-eksternal,Please send Windows English version,5,21.68
1130,beli-harddisk-eksternal,Error,5,20.51
1131,beli-harddisk-eksternal,Good,5,20.02
1132,beli-harddisk-eksternal,Barang tiba ontime dan packing rapi,5,17.44
